FlightDate,AvgFlightCountPrevious3Days
2022-04-01,19398.0000
2022-04-02,18227.0000
2022-04-03,18519.3333
2022-04-04,18672.2500
2022-04-05,18293.2500
2022-04-06,18619.7500
2022-04-07,18681.0000
2022-04-08,18742.2500
2022-04-09,18383.2500
2022-04-10,18540.0000
2022-04-11,18539.2500
2022-04-12,18237.5000
2022-04-13,18748.7500
2022-04-14,18859.0000
2022-04-15,18883.0000
2022-04-16,18452.2500
2022-04-17,18565.0000
2022-04-18,18536.5000
2022-04-19,18214.5000
2022-04-20,18708.7500
2022-04-21,18814.5000
2022-04-22,18839.7500
2022-04-23,18413.0000
2022-04-24,18559.2500
2022-04-25,18545.7500
2022-04-26,18219.7500
2022-04-27,18708.2500
2022-04-28,18783.5000
2022-04-29,18797.0000
2022-04-30,18397.2500
